unit,lev_limit,age,sex,geo,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
PC,NONE,Y16-29,M,AT,3.8,2.8,2.1,3.2,4.7,3.9,4.8,4.4,3.6,4.1,3.5,3.9
PC,NONE,Y16-29,M,BE,4.1,5.3,3.9 b,5.4,6.2,7.0,5.2,9.0,7.1,7.9,7.0,7.6
PC,NONE,Y16-29,M,BG,18.0,21.2,22.2,20.8,36.1,34.2,34.9,29.9,42.0,40.8,43.3,43.6
PC,NONE,Y16-29,M,CH,,0.3,0.5,2.3,0.7,0.5,0.8,0.6,0.6,0.6,1.5,1.6
PC,NONE,Y16-29,M,CY,,8.5,11.4,14.8,15.5,16.1,21.3,20.8,19.0,19.3,14.2,16.0
PC,NONE,Y16-29,M,CZ,2.5,2.3,2.9,3.6,3.6,5.9,5.0,6.4,7.1,8.3,6.0,7.4
PC,NONE,Y16-29,M,DE,4.9,6.4 b,1.7,3.3,3.0,3.2,4.1,4.0,5.0,3.5,3.9,5.0
PC,NONE,Y16-29,M,DK,0.3,1.8,1.5,2.8,4.0,2.4,4.3,3.1,5.5,2.7,1.4,2.2
PC,NONE,Y16-29,M,EA,,6.6,5.2,5.9 e,6.5 e,7.0 e,8.0 e,7.9 e,8.3 e,8.3 e,6.8 e,6.5 e
PC,NONE,Y16-29,M,EA18,,6.6,5.2,5.9,6.4,6.9,7.9,7.9,8.3,8.4,7.0,6.7
PC,NONE,Y16-29,M,EA19,,6.6,5.2,5.9,6.5,7.0,8.0,8.0,8.4,8.6,7.2,6.8
PC,NONE,Y16-29,M,EE,1.2,1.5,2.4,2.2,2.2,3.4,3.4,5.5,7.6,8.7,9.4,9.0
PC,NONE,Y16-29,M,EL,,19.9,19.0,19.8,27.4,29.7,29.0,27.7,26.3,27.1,17.9,12.2
PC,NONE,Y16-29,M,ES,8.8,9.0,5.6,5.9,6.1,7.3,7.7,7.3,6.5,8.1,5.2,5.5
PC,NONE,Y16-29,M,EU,,,5.6 e,6.2,7.2,8.2,9.2,10.0,10.9,11.0,9.5,9.1
PC,NONE,Y16-29,M,EU27_2007,,,5.6 e,6.2,7.2,8.2,9.2,10.0,10.9,11.0,9.5,9.1
PC,NONE,Y16-29,M,EU27_2020,,6.8,5.7 e,6.4 e,7.6 e,8.5 e,9.5 e,10.0 e,11.0 e,11.1 e,9.9 e,9.8 e
PC,NONE,Y16-29,M,EU28,,,5.6 e,6.2,7.2,8.2,9.2,10.0,10.9,11.0,9.5,9.1
PC,NONE,Y16-29,M,FI,1.0,4.0,4.2,3.7,2.0,2.1,3.4,3.4,2.0,1.8,1.9,2.7
PC,NONE,Y16-29,M,FR,,5.0 b,5.1,5.0,5.0,4.4,6.1,5.8,6.8,6.4,5.6,6.5
PC,NONE,Y16-29,M,HR,4.6,4.7,5.8,6.5,9.0,13.4,13.3,14.0,14.9,14.9,17.7,13.4
PC,NONE,Y16-29,M,HU,,7.0,7.9,8.6,16.0,18.6,21.2,25.9,32.1,28.8,25.9,24.2
PC,NONE,Y16-29,M,IE,3.1,3.9 b,6.9,8.2,6.1,8.1,10.1,10.9,10.6,12.2,10.3,4.8
PC,NONE,Y16-29,M,IS,,,,0.4,0.7,0.3,0.0,0.3,2.0,1.0,2.4,1.1
PC,NONE,Y16-29,M,IT,8.2 p,8.0,8.9,9.7,11.8,13.8,15.1,14.3,14.0,16.6,12.5,8.4
PC,NONE,Y16-29,M,LT,,6.6,8.5,12.0,12.9,13.5,10.3,11.7,11.0,21.5,19.4,23.3
PC,NONE,Y16-29,M,LU,,3.3 b,2.4,1.7,0.9,1.4,2.9,1.5,1.2,1.1,1.9,0.5
PC,NONE,Y16-29,M,LV,5.5,6.9,6.1,8.1,9.5,10.8,13.2,15.4,20.9,21.7,33.1,27.1
PC,NONE,Y16-29,M,ME,,13.9,10.9,12.8,11.6,17.1,16.5,12.7,11.1,,,
PC,NONE,Y16-29,M,MK,,29.6,32.2,32.3,32.4,29.3,29.9,36.1,40.4,43.9,41.2,
PC,NONE,Y16-29,M,MT,,2.3,3.7,3.1,3.7,5.7,11.8,11.6,12.3,9.4,5.8,7.3
PC,NONE,Y16-29,M,NL,,1.4,1.2,1.5,3.4,1.2,1.2,0.6,2.6,1.2,4.1,3.6
PC,NONE,Y16-29,M,NO,,1.3,2.9,2.7,3.1,1.9,1.3,1.8,3.1,2.1,3.0,2.6
PC,NONE,Y16-29,M,PL,,2.7,2.6,4.6,5.0,6.9,7.5,9.8,11.8,13.2,12.9,13.9
PC,NONE,Y16-29,M,PT,,5.7,6.9,8.1,8.2,8.3,10.4,10.3,13.0,8.9,6.6,8.6
PC,NONE,Y16-29,M,RO,14.7,16.1,14.1,15.8,21.3,26.9,26.6,30.8,32.6,32.8,30.7,30.8
PC,NONE,Y16-29,M,RS,,12.2,13.9,13.6,17.3,22.0,23.3,28.9,28.8,,,
